target	unresolved	total_vars	ratio	p_unresolved_dynamic_include_vars	p_unresolved_readme_documented_only	p_unresolved_no_static_definition	p_ambiguous_set_fact_runtime	ambiguous_vars
https://github.com/geerlingguy/ansible-role-mysql	34	118	0.288	0	24	10	12	12
https://github.com/bertvv/ansible-role-bind	33	72	0.458	0	19	14	4	4
https://github.com/geerlingguy/ansible-role-php	29	121	0.240	0	18	11	14	14
https://github.com/mshurutov/pgbackup	22	37	0.595	0	0	22	0	0
https://github.com/geerlingguy/ansible-role-nginx	22	55	0.400	0	13	9	1	1
https://github.com/geerlingguy/ansible-role-postgresql	18	45	0.400	0	11	7	9	9
https://github.com/geerlingguy/ansible-role-apache	15	52	0.288	0	14	1	2	5
https://github.com/dev-sec/ansible-ssh-hardening	12	101	0.119	0	5	7	1	1
https://github.com/mutl3y/ansible_port_listener	10	13	0.769	0	0	10	0	0
https://github.com/geerlingguy/ansible-role-nodejs	6	16	0.375	0	5	1	1	1
https://github.com/PrymalInstynct/ansible_auditd	6	61	0.098	0	0	6	2	2
https://github.com/geerlingguy/ansible-role-java	3	5	0.600	0	2	1	1	1
https://github.com/Splorgle/ansible-role-wireguard	3	12	0.250	0	3	0	2	2
https://github.com/weareinteractive/ansible-ssh	3	15	0.200	1	0	2	0	0
https://github.com/trippsc2/ansible-role-generate_csr	3	29	0.103	0	0	3	0	0
https://github.com/csakaszamok/ansible-role-rke2-after	2	7	0.286	0	0	2	0	0
https://github.com/trippsc2/ansible-role-ubuntu_seal_for_template	1	7	0.143	0	0	0	0	0
